tracepoint,event_type,event_id,core_ts_us,ipc_worker_ts_us,ipc_latency_us,params
utxocache:add,utxocache_add,862f560097ad79b76e4d15736dccc00b4c321c8bfa3cf5e188940b3d6be172b8:0,237079574868,160699256558,-76380318310,"{""type"":""utxocache_add"",""txid"":""862f560097ad79b76e4d15736dccc00b4c321c8bfa3cf5e188940b3d6be172b8"",""vout"":0,""height"":144,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079574868}"
utxocache:add,utxocache_add,862f560097ad79b76e4d15736dccc00b4c321c8bfa3cf5e188940b3d6be172b8:0,237079577135,160699258924,-76380318211,"{""type"":""utxocache_add"",""txid"":""862f560097ad79b76e4d15736dccc00b4c321c8bfa3cf5e188940b3d6be172b8"",""vout"":0,""height"":144,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079577135}"
validation:block_connected,block_connected,347253456b77f09d686f136b774fe30a58f88f70694949b3161a7bbf26a3b28e,237079577355,160699259163,-76380318192,"{""type"":""block_connected"",""hash"":""347253456b77f09d686f136b774fe30a58f88f70694949b3161a7bbf26a3b28e"",""height"":144,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":229042,""timestamp_us"":237079577355}"
(internal BlockChecked),block_validated,347253456b77f09d686f136b774fe30a58f88f70694949b3161a7bbf26a3b28e,237079577360,160699259216,-76380318144,"{""type"":""block_validated"",""hash"":""347253456b77f09d686f136b774fe30a58f88f70694949b3161a7bbf26a3b28e"",""height"":-1,""tx_count"":1,""received_us"":237079577360,""validated_us"":237079577360,""accepted"":true}"
utxocache:add,utxocache_add,70bfd2728289ea9d777ee74badd8f592877137b887f60ef2e22fec3caff6c75d:0,237079580055,160699261752,-76380318303,"{""type"":""utxocache_add"",""txid"":""70bfd2728289ea9d777ee74badd8f592877137b887f60ef2e22fec3caff6c75d"",""vout"":0,""height"":145,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079580055}"
utxocache:add,utxocache_add,70bfd2728289ea9d777ee74badd8f592877137b887f60ef2e22fec3caff6c75d:0,237079580260,160699262013,-76380318247,"{""type"":""utxocache_add"",""txid"":""70bfd2728289ea9d777ee74badd8f592877137b887f60ef2e22fec3caff6c75d"",""vout"":0,""height"":145,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079580260}"
validation:block_connected,block_connected,55cb3880c9c81391fbf98f9ec2063463810c29853ad92647ab4bd5aabbb5c0fe,237079582934,160699264786,-76380318148,"{""type"":""block_connected"",""hash"":""55cb3880c9c81391fbf98f9ec2063463810c29853ad92647ab4bd5aabbb5c0fe"",""height"":145,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":2676833,""timestamp_us"":237079582934}"
(internal BlockChecked),block_validated,55cb3880c9c81391fbf98f9ec2063463810c29853ad92647ab4bd5aabbb5c0fe,237079582939,160699264865,-76380318074,"{""type"":""block_validated"",""hash"":""55cb3880c9c81391fbf98f9ec2063463810c29853ad92647ab4bd5aabbb5c0fe"",""height"":-1,""tx_count"":1,""received_us"":237079582939,""validated_us"":237079582939,""accepted"":true}"
utxocache:add,utxocache_add,cb142ecab67f9377aadf99101a885470f84685c30aaed68955983de2e16a3342:0,237079583262,160699264958,-76380318304,"{""type"":""utxocache_add"",""txid"":""cb142ecab67f9377aadf99101a885470f84685c30aaed68955983de2e16a3342"",""vout"":0,""height"":146,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079583262}"
utxocache:add,utxocache_add,cb142ecab67f9377aadf99101a885470f84685c30aaed68955983de2e16a3342:0,237079784785,160699466529,-76380318256,"{""type"":""utxocache_add"",""txid"":""cb142ecab67f9377aadf99101a885470f84685c30aaed68955983de2e16a3342"",""vout"":0,""height"":146,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079784785}"
validation:block_connected,block_connected,4945e9d50666a99dc46881d3c68d4a4362ae2c98d9a30ec7da10e607da7df30c,237079784977,160699466686,-76380318291,"{""type"":""block_connected"",""hash"":""4945e9d50666a99dc46881d3c68d4a4362ae2c98d9a30ec7da10e607da7df30c"",""height"":146,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":201375,""timestamp_us"":237079784977}"
(internal BlockChecked),block_validated,4945e9d50666a99dc46881d3c68d4a4362ae2c98d9a30ec7da10e607da7df30c,237079784981,160699466728,-76380318253,"{""type"":""block_validated"",""hash"":""4945e9d50666a99dc46881d3c68d4a4362ae2c98d9a30ec7da10e607da7df30c"",""height"":-1,""tx_count"":1,""received_us"":237079784981,""validated_us"":237079784981,""accepted"":true}"
utxocache:add,utxocache_add,859bfd6bc83711c8a253b703d8e24df8e22399e2d269bd43054a3ac227f24d29:0,237079785211,160699466906,-76380318305,"{""type"":""utxocache_add"",""txid"":""859bfd6bc83711c8a253b703d8e24df8e22399e2d269bd43054a3ac227f24d29"",""vout"":0,""height"":147,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079785211}"
utxocache:add,utxocache_add,859bfd6bc83711c8a253b703d8e24df8e22399e2d269bd43054a3ac227f24d29:0,237079785546,160699467230,-76380318316,"{""type"":""utxocache_add"",""txid"":""859bfd6bc83711c8a253b703d8e24df8e22399e2d269bd43054a3ac227f24d29"",""vout"":0,""height"":147,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079785546}"
validation:block_connected,block_connected,26285f48a26d7e145ac41a52e3bfb3977131e56cf90e19e9367bb971ad4a8f25,237079785632,160699467318,-76380318314,"{""type"":""block_connected"",""hash"":""26285f48a26d7e145ac41a52e3bfb3977131e56cf90e19e9367bb971ad4a8f25"",""height"":147,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":88000,""timestamp_us"":237079785632}"
(internal BlockChecked),block_validated,26285f48a26d7e145ac41a52e3bfb3977131e56cf90e19e9367bb971ad4a8f25,237079785634,160699467346,-76380318288,"{""type"":""block_validated"",""hash"":""26285f48a26d7e145ac41a52e3bfb3977131e56cf90e19e9367bb971ad4a8f25"",""height"":-1,""tx_count"":1,""received_us"":237079785634,""validated_us"":237079785634,""accepted"":true}"
utxocache:add,utxocache_add,e8cdb209835d4c8e4e08a1439c5f430ac3f20fda903444b30d467b8ec130211c:0,237079787945,160699469629,-76380318316,"{""type"":""utxocache_add"",""txid"":""e8cdb209835d4c8e4e08a1439c5f430ac3f20fda903444b30d467b8ec130211c"",""vout"":0,""height"":148,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079787945}"
utxocache:add,utxocache_add,e8cdb209835d4c8e4e08a1439c5f430ac3f20fda903444b30d467b8ec130211c:0,237079788313,160699469993,-76380318320,"{""type"":""utxocache_add"",""txid"":""e8cdb209835d4c8e4e08a1439c5f430ac3f20fda903444b30d467b8ec130211c"",""vout"":0,""height"":148,""value"":5000000000,""is_coinbase"":true,""timestamp_us"":237079788313}"
validation:block_connected,block_connected,2b70d853dd2255dd9cf89ccfe42ed1e140300b05297181eea122e49b8734b615,237079788393,160699470077,-76380318316,"{""type"":""block_connected"",""hash"":""2b70d853dd2255dd9cf89ccfe42ed1e140300b05297181eea122e49b8734b615"",""height"":148,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":82292,""timestamp_us"":237079788393}"
